"Year","Industry","A","L","E","NI","CFO","Lagged.Assets","Rev","Lagged.Rev","Rec","Lagged.Rec","PPE","TA","X.Rev","X.Rec","X..Revit....Recit.","TA_scaled","inv_Asset.x","rev_rec.x","ppe_scaled.x","BZ","Gwth","Lev","TANG","Years.of.Est","Age","SIG","AudFee","Audit.Firm.Tenure","AudTenure","AudRotation","(Intercept)","inv_Asset.y","rev_rec.y","ppe_scaled.y","NDA","DA.x","ADA.x","DA.y","ADA.y"
2017,"Stanbic Bank",1332670,1193970,185218,49281,131796,1053523,166437,156425,381323,368229,18597,-82515,10012,13094,-3082,-0.0783229222333067,9.49196173220708e-07,-0.00292542260586622,0.0176522012333855,11.9603319408666,0.0640051142720153,0.895923221802847,0.0217954425294939,10,2.30258509299405,0.1886,21.04998783698,7,1.94591014905531,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0996900114974204,0.0213670892641137,0.0213670892641137,0.0213670892641137,0.0213670892641137
2018,"Stanbic Bank",1663661,1423994,238663,74440,112820,1332670,222360,166437,441261,381323,18004,-38380,55923,59938,-4015,-0.0287993276655136,7.50373310722084e-07,-0.00301274884254917,0.0135097210862404,12.0223721384211,0.336001009390941,0.855940002199967,0.015783862852131,11,2.39789527279837,0.2706,21.1929656700508,8,2.07944154167984,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0998185805841489,0.0710192529186353,0.0710192529186353,0.0710192529186353,0.0710192529186353
2019,"Stanbic Bank",1876456,1574227,302225,75028,-225363,1663661,233808,222360,535170,441261,27778,-150335,11448,93909,-82461,-0.0903639623697376,6.0108399487636e-07,-0.0495659873014995,0.0166969112096755,12.3120529690674,0.0514840798704803,0.838936271354085,0.0112559189853918,12,2.484906649788,0.2706,21.3526507283561,9,2.19722457733622,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0972745958626507,0.00691063349291311,0.00691063349291311,0.00691063349291311,0.00691063349291311
2020,"Stanbic Bank",2486306,2107705,378601,83211,495438,1876456,234446,233808,632967,535170,30728,-412227,638,97797,-97159,-0.219683808200139,5.32919503574824e-07,-0.0517779260478263,0.0163755505058472,12.3622555447144,0.00272873468829125,0.847725501205403,0.0148034379703015,13,2.56494935746154,0.2706,21.6340639117601,10,2.30258509299405,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0970610575236605,-0.122622750676479,0.122622750676479,-0.122622750676479,0.122622750676479
2021,"Stanbic Bank",2742764,2365898,376866,56966,83601,2486306,206644,234446,937140,632967,42720,-26635,-27802,304173,-331975,-0.0107126797747341,4.02203107742973e-07,-0.133521376692973,0.0171821167627798,12.3649805631651,-0.118585943031658,0.862596271498386,0.0123588970947261,14,2.63905732961526,0.2706,21.7322320080149,1,0,0,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0818869866335297,0.0711743068587957,0.0711743068587957,0.0711743068587957,0.0711743068587957
2022,"Stanbic Bank",3029026,2621356,407670,80834,-84232,2742764,287537,206644,937140,937140,61548,-3398,80893,0,80893,-0.00123889623751807,3.64595714396135e-07,0.0294932411246465,0.0224401370296533,12.2387527849188,0.391460676332243,0.865412182001739,0.0155755289190029,15,2.70805020110221,0.2706,21.8315069526457,2,0.693147180559945,0,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0986367587820491,0.097397862544531,0.097397862544531,0.097397862544531,0.097397862544531
2013,"Sterling Bank",707797181,644339285,63457896,8274864,-43952582,580225940,91742770,68856815,321743748,229420874,9069368,-35677718,22885955,92322874,-69436919,-0.0614893536128357,1.72346655166779e-09,-0.119672207347365,0.0156307523927662,18.0475397615374,0.332370223630007,0.910344520007349,0.0134315194525774,55,4.00733318523247,15.5841,20.3776681431042,4,1.38629436111989,0,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,0.00705820727907725,-0.068547560891913,0.068547560891913,-0.068547560891913,0.068547560891913
2014,"Sterling Bank",824539426,739824141,84715285,9004973,-755006,707797181,103677466,91742770,371246273,321743748,13952027,8249967,11934696,49502525,-37567829,0.0116558347807265,1.41283410960632e-09,-0.0530771102350576,0.0197118996437484,18.3344992407041,0.130088681647611,0.89725744782033,0.0128135124629721,56,4.02535169073515,15.5841,20.5303355168922,5,1.6094379124341,0,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.00430181173420787,0.0159576465149344,0.0159576465149344,0.0159576465149344,0.0159576465149344
2015,"Sterling Bank",799451417,703885670,10292577,10292577,54691995,824539426,110193835,103677466,338726271,371246273,15258217,-44399418,6516369,-32520002,-26003633,-0.0538475379102127,1.21279828285616e-09,-0.0315371614504217,0.0185051393770466,18.4567953496831,0.062852317397495,0.880460844814539,0.0169209943879627,57,4.04305126783455,15.5841,20.4994413250812,6,1.79175946922805,1,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.00617051761696365,-0.047677020293249,0.047677020293249,-0.047677020293249,0.047677020293249
2016,"Sterling Bank",830802224,745123602,85678622,5180964,-124892482,799451417,111238000,110193835,468250000,338726271,14604187,-119711518,1044165,129523729,-128479564,-0.149742079949306,1.25085774912073e-09,-0.160709658233053,0.0182677604785583,18.5177515093795,0.00947571159493632,0.896872420986682,0.0190857634779151,58,4.06044301054642,15.5841,20.5419716921839,7,1.94591014905531,1,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,0.0186537549696092,-0.168395834918915,0.168395834918915,-0.168395834918915,0.168395834918915
